t,driver_StreamingMetrics_streaming_lastCompletedBatch_processingDelay_value,driver_StreamingMetrics_streaming_lastCompletedBatch_schedulingDelay_value,driver_StreamingMetrics_streaming_lastCompletedBatch_totalDelay_value,1_diff_driver_StreamingMetrics_streaming_totalCompletedBatches_value,1_diff_driver_StreamingMetrics_streaming_totalProcessedRecords_value,1_diff_driver_StreamingMetrics_streaming_totalReceivedRecords_value,1_diff_driver_StreamingMetrics_streaming_lastReceivedBatch_records_value,1_diff_driver_BlockManager_memory_memUsed_MB_value,1_diff_driver_jvm_heap_used_value,1_diff_node5_CPU_ALL_Idle%,1_diff_node6_CPU_ALL_Idle%,1_diff_node7_CPU_ALL_Idle%,1_diff_node8_CPU_ALL_Idle%,1_diff_avg_executor_filesystem_hdfs_write_ops_value,1_diff_avg_executor_cpuTime_count,1_diff_avg_executor_runTime_count,1_diff_avg_executor_shuffleRecordsRead_count,1_diff_avg_executor_shuffleRecordsWritten_count,1_diff_avg_jvm_heap_used_value,timestamp
2018-06-14 13:25:53,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,8534792.0,6.699999999999989,4.099999999999994,32.2,11.699999999999989,0.0,0.0,0.0,0.0,0.0,0.0,1528982753
2018-06-14 13:25:54,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,103337168.0,7.5,11.0,16.0,0.2000000000000028,1.0,1.0,1.0,1.0,1.0,218134721.0,1528982754
2018-06-14 13:25:55,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,170069312.0,-3.799999999999997,-10.799999999999995,-18.5,3.200000000000003,0.0,0.0,0.0,0.0,0.0,62459132.0,1528982755
2018-06-14 13:25:56,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,196344144.0,-28.099999999999994,-8.299999999999997,-20.3,-32.5,0.0,1193256793.5,1898.5,1675.0,1675.0,140022088.0,1528982756
2018-06-14 13:25:57,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,60535984.0,8.899999999999999,10.400000000000006,14.600000000000009,6.0,0.0,661226497.0,684.5,0.0,0.0,216231032.0,1528982757
2018-06-14 13:25:58,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-543766728.0,14.999999999999991,1.2999999999999972,4.099999999999994,30.0,0.0,80268622.5,134.5,13.5,9.0,54544064.0,1528982758
2018-06-14 13:25:59,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,50.0,211870616.0,8.5,-1.9000000000000057,16.200000000000003,-7.5,0.0,0.0,0.0,0.0,0.0,-347120348.0,1528982759
2018-06-14 13:26:00,-1.0,-1.0,-1.0,0.0,0.0,1446856.0,1446856.0,137.0,40891856.0,-5.899999999999992,-5.599999999999994,-23.0,-5.599999999999994,0.0,0.0,0.0,0.0,0.0,386401792.0,1528982760
2018-06-14 13:26:01,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,166.0,3796744.0,-28.40000000000001,-40.2,-7.400000000000006,-43.7,0.0,1286536115.5,1645.0,0.0,11022.5,538024524.0,1528982761
2018-06-14 13:26:02,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,174.0,29586816.0,23.40000000000001,32.400000000000006,9.799999999999995,-8.7,40.0,390614085.5,824.0,16961.0,0.0,-268830568.0,1528982762
