t,driver_StreamingMetrics_streaming_lastCompletedBatch_processingDelay_value,driver_StreamingMetrics_streaming_lastCompletedBatch_schedulingDelay_value,driver_StreamingMetrics_streaming_lastCompletedBatch_totalDelay_value,1_diff_driver_StreamingMetrics_streaming_totalCompletedBatches_value,1_diff_driver_StreamingMetrics_streaming_totalProcessedRecords_value,1_diff_driver_StreamingMetrics_streaming_totalReceivedRecords_value,1_diff_driver_StreamingMetrics_streaming_lastReceivedBatch_records_value,1_diff_driver_BlockManager_memory_memUsed_MB_value,1_diff_driver_jvm_heap_used_value,1_diff_node5_CPU_ALL_Idle%,1_diff_node6_CPU_ALL_Idle%,1_diff_node7_CPU_ALL_Idle%,1_diff_node8_CPU_ALL_Idle%,1_diff_avg_executor_filesystem_hdfs_write_ops_value,1_diff_avg_executor_cpuTime_count,1_diff_avg_executor_runTime_count,1_diff_avg_executor_shuffleRecordsRead_count,1_diff_avg_executor_shuffleRecordsWritten_count,1_diff_avg_jvm_heap_used_value,timestamp,label
2018-06-14 13:24:16,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,10762496.0,-0.4000000000000057,-1.3000000000000114,10.799999999999995,-6.800000000000011,0.0,0.0,0.0,0.0,0.0,0.0,1528982656,0
2018-06-14 13:24:17,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,84256880.0,-4.099999999999994,0.6000000000000085,-6.0,6.1000000000000085,0.0,0.0,0.0,0.0,0.0,0.0,1528982657,0
2018-06-14 13:24:18,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,82667520.0,13.599999999999994,12.0,-0.6999999999999886,2.3999999999999915,1.0,1.0,1.0,1.0,1.0,215445833.0,1528982658,0
2018-06-14 13:24:19,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,222347856.0,1.8000000000000114,-6.799999999999997,0.3999999999999915,-0.1999999999999886,0.0,695035367.0,1081.0,150.0,1266.6666666666667,138724882.6666667,1528982659,0
2018-06-14 13:24:20,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-338122168.0,-10.900000000000006,-20.60000000000001,-32.8,-23.80000000000001,0.0,488434715.0,732.3333333333333,1533.3333333333333,416.6666666666665,87043786.66666663,1528982660,0
2018-06-14 13:24:21,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,125.0,7365968.0,-4.700000000000003,11.799999999999995,17.900000000000006,12.5,0.0,0.0,0.0,0.0,0.0,148491349.3333333,1528982661,0
2018-06-14 13:24:22,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,371.0,7054224.0,-15.599999999999994,8.100000000000009,10.899999999999991,4.5,0.0,0.0,0.0,0.0,0.0,311913586.66666675,1528982662,0
2018-06-14 13:24:23,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,281.0,3358664.0,29.200000000000003,8.899999999999991,6.799999999999997,10.5,0.0,0.0,0.0,0.0,0.0,494893034.6666666,1528982663,0
2018-06-14 13:24:24,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,289.0,2277000.0,2.0999999999999943,-5.899999999999992,-3.6999999999999886,-1.0999999999999943,0.0,0.0,0.0,0.0,0.0,-282773736.0,1528982664,0
2018-06-14 13:24:25,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,389.0,9464536.0,-10.099999999999994,-8.700000000000003,4.199999999999989,-7.900000000000006,0.0,0.0,0.0,0.0,0.0,504092877.33333325,1528982665,0
